nome_livro,autor,ano,genero
O Que É Literatura?, Jean-Paul Sartre, 1947, Filosofia
A Casa do Lago, Kate Morton, 2013, Mistério
O Advogado do Diabo, Andrew Neiderman, 1990, Suspense
A Última Carta de Amor, Jojo Moyes, 2010, Romance
O Projeto Rosie, Graeme Simsion, 2013, Romance
A Princesa Prometida, William Goldman, 1973, Fantasia
O Menino do Pijama Listrado, John Boyne, 2006, Drama
O Verão que Mudou Minha Vida, Jenny Han, 2009, Romance
A Última Leitura, José Eduardo Agualusa, 2021, Romance
O Estranho no Ninho, Ken Kesey, 1962, Drama
A Amiga Genial, Elena Ferrante, 2011, Romance
O Monge e o Executivo, James C. Hunter, 1998, Autoajuda
A Garota no Trem, Paula Hawkins, 2015, Mistério
O Livro dos Baltimore, Joël Dicker, 2015, Drama
O Conto da Aia, Margaret Atwood, 1985, Distopia
O Pacto, Joe Hill, 2010, Terror
A Caminho do Altar, Patricia Highsmith, 1950, Suspense
O Ladrão de Raios, Rick Riordan, 2005, Fantasia
A Fera, Alex Flinn, 2007, Romance
O Último Grande Romance, Brian Francis, 2015, Romance
O Mistério do Vale, John Verdon, 2012, Mistério
A Travessia, J.A. Jance, 2013, Suspense
O Ponto de Vista do Amor, Susan Elizabeth Phillips, 2010, Romance
A Menina que Roubava Livros, Markus Zusak, 2005, Drama
O Coração de Thomas, Haneke, 2007, Drama
A Ilha do Tesouro, Robert Louis Stevenson, 1883, Aventura
O Medo de Amores Perdidos, Mariana Enriquez, 2020, Suspense
O Chão que Ela Pisa, Francesca Hornak, 2015, Drama
A Noiva Fantasma, Yangsze Choo, 2019, Fantasia
O Homem que Ri, Victor Hugo, 1869, Romance
A Garota no Trem, Paula Hawkins, 2015, Mistério
O Pacto dos Assassinos, Robert Ludlum, 2008, Suspense
A Elegância do Ouriço, Muriel Barbery, 2006, Romance
O Mínimo que Você Precisa Saber para Não Ser Um Idiota, Leonardo Pinto, 2021, Autoajuda
A Casa das Belas Adormecidas, Yasunari Kawabata, 1961, Romance
O Hóspede de Janeiro, Alan Bradley, 2017, Mistério
A Esposa Silenciosa, Karin Slaughter, 2013, Suspense
O Quinto Beatle, Vivek J. Tiwary, 2013, Biografia
A Corrente do Bem, Michelle Richmond, 2019, Drama
O Dia do Curinga, Jostein Gaarder, 1999, Filosofia
A Garota do Calendário, Audrey Carlan, 2015, Romance
O Feiticeiro de Oz, L. Frank Baum, 1900, Infantojuvenil
O Livro do Coração, Carlos Ruiz Zafón, 2008, Romance
A Pequena Livraria dos Corações Solitários, Annie Darling, 2016, Romance
O Vendedor de Sonhos, Augusto Cury, 2008, Autoajuda
A Maravilhosa Terra dos Sonhos, Ted Sanders, 2014, Fantasia
O Segredo de um Coração, Elif Shafak, 2018, Romance
A Gata que Vivia no Telhado, Tessa Hadley, 2014, Drama
O Apanhador no Campo de Centeio, J.D. Salinger, 1951, Literatura Americana
A Descoberta das Bruxas, Deborah Harkness, 2011, Fantasia
O Lobo de Wall Street, Jordan Belfort, 2007, Memórias
A Filha do Ferro, Natasha Pulley, 2016, Fantasia
O Beijo no Asfalto, Nelson Rodrigues, 1960, Drama
A Casa dos Espíritos, Isabel Allende, 1982, Realismo Mágico
O Relógio do Juízo Final, Richard Matheson, 1959, Ficção Científica
A Canção de Salomão, Toni Morrison, 1977, Romance
O Mestre e Margarita, Mikhail Bulgakov, 1967, Ficção
A Vida Secreta das Abelhas, Sue Monk Kidd, 2002, Drama
O Livro dos Baltimore, Joël Dicker, 2015, Drama
A Caminho do Altar, Patricia Highsmith, 1950, Suspense
O Conto da Aia, Margaret Atwood, 1985, Distopia
A Senhora Dalloway, Virginia Woolf, 1925, Romance
O Diário de um Mago, Paulo Coelho, 1987, Filosofia
A Garota que Você Deixou para Trás, Jojo Moyes, 2012, Romance
O Alquimista, Paulo Coelho, 1988, Filosofia
A Morte de Ivan Ilitch, Lev Tolstói, 1886, Drama
O Enigma do Quatro, Ian Caldwell e Dustin Thomason, 2004, Mistério
